S.No,States,x,y
0,Andhra Pradesh,-110.0,-190.0
1,Arunachal Pradesh,322.0,229.0
2,Assam,274.0,150.0
3,Bihar,73.0,124.0
4,Chhattisgarh,-33.0,4.0
5,Goa,-240.0,-179.0
6,Gujarat,-356.0,64.0
7,Haryana,-186.0,234.0
8,Himachal Pradesh,-167.0,316.0
9,Jharkhand,51.0,67.0
10,Karnataka,-216.0,-206.0
11,Kerala,-176.0,-317.0
12,Madhya Pradesh,-165.0,50.0
13,Maharashtra,-245.0,-60.0
14,Manipur,308.0,98.0
15,Meghalaya,215.0,125.0
16,Mizoram,279.0,61.0
17,Nagaland,322.0,150.0
18,Odisha,41.0,-37.0
19,Punjab,-211.0,277.0
20,Rajasthan,-272.0,157.0
21,Sikkim,155.0,186.0
22,Tamil Nadu,-132.0,-302.0
23,Telangana,-108.0,-105.0
24,Tripura,243.0,72.0
25,Uttarakhand,-101.0,269.0
26,Uttar Pradesh,-81.0,159.0
27,West Bengal,135.0,51.0
28,Andaman & Nicobar Islands,291.0,-258.0
29,Dadra & Nagar Haveli,-318.0,-32.0
30,Jammu & Kashmir,-221.0,372.0
31,Lakshadweep,-285.0,-314.0
32,Chandigarh,-159.0,275.0
33,Delhi,-149.0,211.0
34,Ladakh,-156.0,397.0
35,Puducherry,-79.0,-312.0
